<init>(YggdrasilSocialInteractionsService.java:40) ~[authlib-2.1.28.jar:?]
<Cloudrain_0v0> 你猜为什么有禁止玩家移动的功能
<bai_du_wang_pan> 呜呜呜戏画封死了呜呜呜
<bai_du_wang_pan> 还不回来呜呜呜
<hyq> 当着和我不到一样
<TLttz> 我是**
<TLttz> []
<sherry2403> ...
<sherry2403> TLttz 你闲的没事吧(^_?^)
<Dachengcheng> 谁闲着想找点事干
<sherry2403> 我
<yingfeng> 先说要做什么再决定
<Dachengcheng> 打尸王
<yingfeng> 我过去就是刮痧，还是干自己的事情吧（
<Dachengcheng> 先找
<Dachengcheng> 我开着追踪，28级
<sherry2403> 我找到了
<Dachengcheng> 3q
<Dachengcheng> 斧子能我拿吗
<sherry2403> ...
<Dachengcheng> ?
<Dachengcheng> !
<Dachengcheng> 你back一下试试
<sherry2403> 在主城
<Dachengcheng> ./back
<sherry2403> 就在主城啊
<Dachengcheng> ?
<Dachengcheng> 我挖的
<Dachengcheng> ?
<bai_du_wang_pan> 接tp
<Dachengcheng> no
<Dachengcheng> 我要打尸王
<TLttz> ?
<TLttz> 你干嘛嗨嗨哟
<bai_du_wang_pan> e
<TLttz> 百度网盘
<TLttz> 百度网盘
<bai_du_wang_pan> e
<TLttz> L
<bai_du_wang_pan> 看我
<TLttz> ?
<TLttz> ?
<TLttz> woc
<TLttz> 然后呢
<Dachengcheng> !
<sherry2403> ...
<sherry2403> ?
<bai_du_wang_pan> e
<TLttz> e
<sherry2403> ????
<Dachengcheng> 接tp
<sherry2403> 先让我找到
<yingfeng> 咋幻翼都有精英怪了
<TLttz> 嫩来就有啊
<yingfeng> 阴间
<TLttz> wanghany
<sherry2403> ...
<sherry2403> cao
<sherry2403> 海里刷掉了
<TLttz> wanghany
<chasb> zaimarentou我好像记错地方了
<sherry2403> 《汗滴禾下土》
<Dachengcheng> sh,你找到了吗
<sherry2403> <BANK by molan_1145>
<Dachengcheng> sherry,你找到僵尸王了吗
<sherry2403> 刷到海里了
<Dachengcheng> 然后
<sherry2403> 刷没了
<Dachengcheng> no
<yingfeng> :)
<Dachengcheng> 天哪，我还想整把尸王斧呢
<Dachengcheng> 悲惨的我
<Dachengcheng> 发现两个尸王，一个进海里了，另一个被泡发了
<TLttz> 我是**
<TLttz> 第一次见把自己搞死的小黑
<yingfeng> e
<MU_JieShuo> 6
<TLttz> 变答辩糕
<MU_JieShuo> 6
<yingfeng> 什么压缩毛巾
<Guidemonkeys> 6
<yingfeng> 6
<TLttz> 变答辩糕
<Dachengcheng> 悲惨的我
<Dachengcheng> 想要尸王斧
<Dachengcheng> 2尸王一个被泡发
<Dachengcheng> 另一个自己泡发了自己
<MU_JieShuo> 尸王在哪
<yingfeng> 9
<Dachengcheng> 还尸王在哪，没了！
<MU_JieShuo> .
<yingfeng> 缺经验怎么整
<MU_JieShuo> 小黑塔能用了
<yingfeng> 哪
<yingfeng> 在哪
<yingfeng> where
<MU_JieShuo> .
<yingfeng> 只有500块了
<MU_JieShuo> ....
<yingfeng> e
<yingfeng> 大哥牛逼
<TLttz> 及你太美
<MU_JieShuo> 钓鱼达人
<yingfeng> 我钓竿忘了跟SashC拿回来了，所以我在刷饵钓和海之眷顾附魔书。。。。
<MU_JieShuo> wc
<MU_JieShuo> 我的钓鱼竿钓上来一个和我钓鱼竿附魔基本一样就差经验修补的一个钓鱼竿
<yingfeng> TLttz你那还卖甘蔗么
<yingfeng> 9
<TLttz> 昂
<MU_JieShuo> wc
<TLttz> 咋力？
<MU_JieShuo> 饵掉2海之眷顾2经验修补耐久3
<yingfeng> 我整点
<MU_JieShuo> 这是我的
<TLttz> 6
<MU_JieShuo> 饵掉2海之眷顾2耐久3 这是钓上来的
<MU_JieShuo> 百度网盘？
<yingfeng> 挂会机ing
<MU_JieShuo> 来我这
<MU_JieShuo> .
<TLttz> 钓鱼佬
<MU_JieShuo> .
<MU_JieShuo> wc
<MU_JieShuo> 附魔一个钓鱼竿划掉我40经验
<Kevin_mxbt> 这是什么垃圾
<MU_JieShuo> 附魔一个钓鱼竿划掉我40经验
<Kevin_mxbt> 6
<TLttz> 6
<TLttz> 煤炭给我罢
<TLttz> 煤炭给我罢
<TLttz> 机霸
<MU_JieShuo> 6
<bai_du_wang_pan> 这个服1.19不能进qwq
<Kevin_mxbt> ?
<Kevin_mxbt> 可以的啊
<bai_du_wang_pan> 1.19.3
<Kevin_mxbt> 可以
<bai_du_wang_pan> a?
<Cloudrain_0v0> 因人而异的
<TLttz> 1.8
<MU_JieShuo> 握草
<TLttz> ?
<Dachengcheng> cloud,为什么现在我没有天堂岛权限
<TLttz> 咋力》
<Cloudrain_0v0> 自己想（恼）
<MU_JieShuo> 我钓上来一个力量5火矢
<Cloudrain_0v0> 自己想你自己干了点啥B事
<MU_JieShuo> 的弓
<Dachengcheng> 嗯
<Cloudrain_0v0> yingfeng在哪里qwq
<TLttz> 他挂机力（喜）
<Cloudrain_0v0> 我来到云杉村了
<Cloudrain_0v0> 我是一个身无分文的萌新
<MU_JieShuo> 现在云杉村一个房间怎么买
<Cloudrain_0v0> 群里有人跟我说找他能给我一组钻石
<MU_JieShuo> 现在云杉村一个房间怎么买
<Kevin_mxbt> 我可以给你一组合金
<Dachengcheng> 岛主，要不然我看一下baltop?
<TLttz> 大号恼鬼
<Cloudrain_0v0> 偷狐月东西的垃圾人闭嘴
<Dachengcheng> ok
<Cloudrain_0v0> 以后不要叫我岛主
<TLttz> ?
<Cloudrain_0v0> 滚出天堂岛
<TLttz> ???
<Dachengcheng> good bye
<yingfeng> Cloudrain_0v0，看公屏上你找我，有什么事情吗，我刚刚在挂机
<MU_JieShuo> 我没开
<Cloudrain_0v0> 我是一个身无分文的萌新
<Cloudrain_0v0> 群里有人跟我说找他能给我一组钻石
<yingfeng> eee
<yingfeng> 一定是SashC说的
<Cloudrain_0v0> 不是
<Cloudrain_0v0> judhe
<yingfeng> eee
<Cloudrain_0v0> judge
<TLttz> ?
<TLttz> c
<Cloudrain_0v0> =(
<yingfeng> 搬进村里就有一组钻
<TLttz> 横扫真不好用
<MU_JieShuo> 现在云杉村一个房间怎么买
<MU_JieShuo> 现在云杉村一个房间怎么卖
<yingfeng> 白送
<Dachengcheng> 《扫 兴 客》
<MU_JieShuo> 我要一个房间
<Cloudrain_0v0> 所以你能给我一组钻石吗qwq
<TLttz> (=)
<TLttz> (=*
<yingfeng> 能，只要来这里定居
<TLttz> (=(
<TLttz> (=(
<Cloudrain_0v0> 我家穷的揭不开锅了
<yingfeng> eee
<Cloudrain_0v0> 给点吃的总行吧
<Cloudrain_0v0> qwq
<Cloudrain_0v0> 谢谢awa
<Cloudrain_0v0> 但我还是想要钻石
<yingfeng> 来这里建房定居就给
<Cloudrain_0v0> 我的钻套被姜王打爆了
<yingfeng> e
<Kevin_mxbt> 6
<TLttz> 6
<Cloudrain_0v0> 我不要一组，少给一点就行
<TLttz> ??
<yingfeng> 接下tp
<Cloudrain_0v0> awa
<Cloudrain_0v0> 谢谢awa
<yingfeng> eee,算了，我也没指望你要在这住
<MU_JieShuo> 还有多余的房间吗
<yingfeng> 只有前任村长建的一些破烂房子
<MU_JieShuo> 没事
<MU_JieShuo> 给我一个房间
<Cloudrain_0v0> 谢谢yingfeng，小人下辈子定当偿还
<yingfeng> e
<yingfeng> 这个
<MU_JieShuo> 可以
<yingfeng> 9
<MU_JieShuo> 可以自己设置领地吗
<yingfeng> 可以的
<MU_JieShuo> 栓Q
<yingfeng> 只能圈自己房子，别把公共地方圈了
<TLttz> 我系瞎比
<yingfeng> 6
<TLttz> 我系瞎比
<Cloudrain_0v0> 给你了
<yingfeng> 9
<yingfeng> 滴水之恩涌泉相报
<Cloudrain_0v0> 好好建你的云杉村，看好你awa
<yingfeng> 只是受人之托了
<TLttz> \/
<Cloudrain_0v0> 还有，刚刚谁把我砍死了来着（恼）
<MU_JieShuo> ok了
<yingfeng> eee
<MU_JieShuo> 上我家参观参观？
<Cloudrain_0v0> 快乐村，天堂岛，无限城
<yingfeng> 求之不得
<Cloudrain_0v0> 下一个就该云杉村了
<TLttz> 还有！
<TLttz> 地下城！
<Cloudrain_0v0> 以上这些都不算组织哦
<TLttz> a
<Cloudrain_0v0> 我说的这些事非组织聚落
<TLttz> o
<MU_JieShuo> 昨天不小心敲死一个村民
<yingfeng> e
<MU_JieShuo> 来
<Cloudrain_0v0> （恼）云杉村都有铁路
<yingfeng> 缺附魔书来我店里
<TLttz> 打骨折
<yingfeng> res tp book
<MU_JieShuo> 你没参观完
<Cloudrain_0v0> yingfeng
<yingfeng> z
<Cloudrain_0v0> 你要看看我的小镇吗？
<Cloudrain_0v0> awa
<yingfeng> 看完MU的家
<Cloudrain_0v0> ./res tp paradise
<yingfeng> 服里很多人家都建地下的
<MU_JieShuo> 我比较喜欢底下
<Cloudrain_0v0> 来我这里看看嘛awa
<MU_JieShuo> lai
<yingfeng> 好
<Cloudrain_0v0> ./res tp paradise yingfeng
<MU_JieShuo> 大不大
<yingfeng> big
<yingfeng> 这咋还能飞行的
<Cloudrain_0v0> 20块钱买的
<yingfeng> e
<yingfeng> 这个弔
<MU_JieShuo> 6
<MU_JieShuo> 66666666666666
<MU_JieShuo> 666666666666666666666666666666666666666666666666666
<Cloudrain_0v0> ?
<Cloudrain_0v0> 东边就没飞行了奥
<judgefound1125> yingfeng
<MU_JieShuo> 好啊真好
<yingfeng> o
<Cloudrain_0v0> 再往东是我的小麦谷
<yingfeng> 咋了
<MU_JieShuo> 省的我开G飞行了
<judgefound1125> 来，附魔书（）
<yingfeng> (((
<MU_JieShuo> 省的我开G飞行跑图了
<yingfeng> 我去店里买点先
<judgefound1125> yingfeng yingfeng，我关注你114514年了，你能把自己送给我吗（（（（（
<MU_JieShuo> 6
<yingfeng> 主播要以身相许了
<judgefound1125> ((((
<yingfeng> 我目前缺你几本附魔书
<Cloudrain_0v0> 谁TM又买走了400个面包？！？！
<yingfeng> 我记得是要精修和保护
<judgefound1125> 对
<yingfeng> 各差几本
<MU_JieShuo> 6666
<MU_JieShuo> 这么多小麦
<judgefound1125> 保护4差两本，经验差4本
<MU_JieShuo> 30个抽奖券没人要我自己开了哈
<MagicQWQ> 价钱
<yingfeng> 出神剑V我一把
<yingfeng> doge
<MU_JieShuo> .
<MU_JieShuo> 我自己开去了
<yingfeng> 我再去换
<Cloudrain_0v0> 话说云杉村村长事......?
<yingfeng> SashC
<yingfeng> 过年回老家了
<Cloudrain_0v0> 买那么多面包干什莫（恼）
<judgefound1125> yingfeng
<yingfeng> z
<builder> 明天晚上萌新报团主领事交接仪式，具体时间位置待定
<builder> 明天晚上萌新报团主领事交接仪式，具体时间位置待定
<judgefound1125> 要不咱弄个村庄的旗帜
<yingfeng> where，我去凑热闹
<yingfeng> 可
<yingfeng> 你随便整
<builder> 明天晚上萌新报团主领事交接仪式，具体时间位置待定
<judgefound1125> 回来可以放到咱们盾牌上
<wanghany> 你们干啥呢
<Cloudrain_0v0> :说 不能订好了再说吗？
<wanghany> 要发生啥
<builder> 阿巴
<yingfeng> 在哪啊
<MU_JieShuo> 你妹的
<wanghany> 再见，挂机了一上午不是白挂机的
<builder> 问kevin地方在哪
<MU_JieShuo> 吞我一个抽奖券
<Cloudrain_0v0> :说 mxbt主领事变谁了？
<builder> Kevin建没建场地都还不知道呢
